ingredient_name,ingredient_subtitle,category,subcategory,storage_condition,shelf_life_min_days,shelf_life_max_days,shelf_life_days,recommended_temp_c,data_source,confidence,notes
Cream,"whipped, sweetened",Dairy Products & Eggs,,Refrigerated,1.0,1.0,1.0,,USDA FoodKeeper,sourced,
Cream,"whipped, sweetened",Dairy Products & Eggs,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Eggs,"raw whites, yolks",Dairy Products & Eggs,,Refrigerated,2.0,4.0,3.0,,USDA FoodKeeper,sourced,
Eggs,"raw whites, yolks",Dairy Products & Eggs,,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Eggs,hard boiled cooked,Dairy Products & Eggs,,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Egg dishes,,Dairy Products & Eggs,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Egg dishes,,Dairy Products & Eggs,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Whipped topping,tub,Dairy Products & Eggs,,Frozen,420.0,420.0,420.0,,USDA FoodKeeper,sourced,
Yogurt,,Dairy Products & Eggs,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Jerky,homemade,Meat,Shelf Stable Foods,Pantry,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Jerky,homemade,Meat,Shelf Stable Foods,Refrigerated,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
"Stuffed, raw chicken breasts",,Poultry,Stuffed or Assembled,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
"Stuffed, raw chicken breasts",,Poultry,Stuffed or Assembled,Frozen,270.0,270.0,270.0,,USDA FoodKeeper,sourced,
Raw kabobs with vegetables,,Poultry,Stuffed or Assembled,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Raw kabobs with vegetables,,Poultry,Stuffed or Assembled,Frozen,90.0,120.0,105.0,,USDA FoodKeeper,sourced,
Cooked poultry dishes,,Poultry,Cooked or Processed,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Cooked poultry dishes,,Poultry,Cooked or Processed,Frozen,120.0,180.0,150.0,,USDA FoodKeeper,sourced,
Fried chicken,,Poultry,Cooked or Processed,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Fried chicken,,Poultry,Cooked or Processed,Frozen,120.0,120.0,120.0,,USDA FoodKeeper,sourced,
Poultry pieces,covered with gravy or broth,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Poultry pieces,covered with gravy or broth,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Cooked fish,all,Seafood,Fresh,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Cooked fish,all,Seafood,Fresh,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Crab meat,fresh,Seafood,Shellfish,Refrigerated,1.0,3.0,2.0,,USDA FoodKeeper,sourced,
Crab meat,fresh,Seafood,Shellfish,Frozen,60.0,120.0,90.0,,USDA FoodKeeper,sourced,
Cooked shellfish,all,Seafood,Shellfish,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Re-hydrated textured soy protein,(TSP),Vegetarian Proteins,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Leftovers,"with meat, fish, poultry, or egg",Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Leftovers,"with meat, fish, poultry, or egg",Deli & Prepared Foods,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Leftovers,"without meat, fish, poultry, or egg (such as cooked vegitables, rice, or potatoes)",Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Leftovers,"without meat, fish, poultry, or egg (such as cooked vegitables, rice, or potatoes)",Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Leftovers,pizza,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Leftovers,pizza,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Cooked pasta,,Deli & Prepared Foods,,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Cooked pasta,,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Cooked rice,,Deli & Prepared Foods,,Refrigerated,4.0,6.0,5.0,,USDA FoodKeeper,sourced,
Cooked rice,,Deli & Prepared Foods,,Frozen,180.0,180.0,180.0,,USDA FoodKeeper,sourced,
Guacamole,,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Guacamole,,Deli & Prepared Foods,,Frozen,90.0,120.0,105.0,,USDA FoodKeeper,sourced,
Hummus,"traditional (no preservatives, not pasteurized)",Deli & Prepared Foods,,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Luncheon meat or poultry,store-sliced,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Main dishes or meals,hot or refrigerated,Deli & Prepared Foods,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Meats,covered with gravy or broth,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Meats,covered with gravy or broth,Deli & Prepared Foods,,Frozen,180.0,180.0,180.0,,USDA FoodKeeper,sourced,
Pate,,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
"Soup, stews",,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
"Soup, stews",,Deli & Prepared Foods,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Casseroles,,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Fruit pies,"apple, peach, blueberry, apricot, cherry, blackberry",Baked Goods,Bakery,Pantry,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Fruit pies,"apple, peach, blueberry, apricot, cherry, blackberry",Baked Goods,Bakery,Frozen,240.0,240.0,240.0,,USDA FoodKeeper,sourced,
Pies,mincemeat,Baked Goods,Bakery,Pantry,0.08,0.08,0.08,,USDA FoodKeeper,sourced,
Pies,mincemeat,Baked Goods,Bakery,Frozen,240.0,240.0,240.0,,USDA FoodKeeper,sourced,
Pies,pecan,Baked Goods,Bakery,Pantry,0.08,0.08,0.08,,USDA FoodKeeper,sourced,
Pies,pecan,Baked Goods,Bakery,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Pies,pumpkin,Baked Goods,Bakery,Pantry,0.08,0.08,0.08,,USDA FoodKeeper,sourced,
Pies,pumpkin,Baked Goods,Bakery,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Quiche,,Baked Goods,Bakery,Pantry,0.08,0.08,0.08,,USDA FoodKeeper,sourced,
Quiche,,Baked Goods,Bakery,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Apples,,Produce,Fresh Fruits,Frozen,240.0,240.0,240.0,,USDA FoodKeeper,sourced,
Apricots,,Produce,Fresh Fruits,Refrigerated,2.0,5.0,3.5,,USDA FoodKeeper,sourced,
Avocados,,Produce,Fresh Fruits,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Bananas,,Produce,Fresh Fruits,Refrigerated,3.0,3.0,3.0,,USDA FoodKeeper,sourced,
Bananas,,Produce,Fresh Fruits,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Berries,"cherries, goose berries, lychee",Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Berries,"blackberries, boysenberries, currant",Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Blueberries,,Produce,Fresh Fruits,Frozen,240.0,360.0,300.0,,USDA FoodKeeper,sourced,
Cherimoya,,Produce,Fresh Fruits,Refrigerated,4.0,4.0,4.0,,USDA FoodKeeper,sourced,
Cherimoya,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Coconut,shredded,Produce,Fresh Fruits,Frozen,365.0,365.0,365.0,,USDA FoodKeeper,sourced,
Cranberries,,Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Dates,,Produce,Fresh Fruits,Frozen,365.0,730.0,547.5,,USDA FoodKeeper,sourced,
Grapes,,Produce,Fresh Fruits,Frozen,30.0,30.0,30.0,,USDA FoodKeeper,sourced,
Guava,,Produce,Fresh Fruits,Refrigerated,2.0,4.0,3.0,,USDA FoodKeeper,sourced,
Kiwi fruit,,Produce,Fresh Fruits,Refrigerated,3.0,6.0,4.5,,USDA FoodKeeper,sourced,
Melons,,Produce,Fresh Fruits,Frozen,30.0,30.0,30.0,,USDA FoodKeeper,sourced,
"Papaya, mango, feijoa, passionfruit, casaha melon",,Produce,Fresh Fruits,Frozen,180.0,240.0,210.0,,USDA FoodKeeper,sourced,
"Peaches, nectarines, plums, pears, sapote",,Produce,Fresh Fruits,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
"Peaches, nectarines, plums, pears, sapote",,Produce,Fresh Fruits,Frozen,60.0,60.0,60.0,,USDA FoodKeeper,sourced,
Pineapple,,Produce,Fresh Fruits,Refrigerated,5.0,7.0,6.0,,USDA FoodKeeper,sourced,
Pineapple,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Plantains,,Produce,Fresh Fruits,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Plantains,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Pomegranate,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Potatoes,,Produce,Fresh Vegetables,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Tamarind,,Produce,Fresh Vegetables,Frozen,365.0,365.0,365.0,,USDA FoodKeeper,sourced,
Dough,commercial (bread or cookie),Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Egg substitutes,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Fish,raw but headed and gutted,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Frozen pretzels,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Lobster tails,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Sausages,uncooked,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Sausages,precooked,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
"Shrimp, shellfish",,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Soy crumbles and hot dogs,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Soy meat substitutes,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Tempeh,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Vegetables,,Food Purchased Frozen,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Fresh pasta,,"Grains, Beans & Pasta",,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Fresh pasta,,"Grains, Beans & Pasta",,Frozen,60.0,60.0,60.0,,USDA FoodKeeper,sourced,
Dry gravy mixes,,"Condiments, Sauces & Canned Goods",,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Pesto,jarred,"Condiments, Sauces & Canned Goods",,Frozen,30.0,30.0,30.0,,USDA FoodKeeper,sourced,
Crackers,,Shelf Stable Foods,,Frozen,90.0,120.0,105.0,,USDA FoodKeeper,sourced,
Nuts,jars or cans,Shelf Stable Foods,,Frozen,180.0,360.0,270.0,,USDA FoodKeeper,sourced,
Coffee,"home ground, non-vacuum",Beverages,,Frozen,365.0,730.0,547.5,,USDA FoodKeeper,sourced,
Kumquats,,Produce,Fresh Fruits,Refrigerated,21.0,21.0,21.0,,USDA FoodKeeper,sourced,
Bagged greens,"leaf, spinach, lettuce, etc.",Produce,Fresh Vegetables,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Egg salad,,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Potato salad,,Deli & Prepared Foods,,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Seafood salads,"(tuna salad, shrimp salad, salmon salad, mixed seafood salad, etc.)",Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Chicken salad,,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Ham salad,,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Pasta salad,,Deli & Prepared Foods,,Refrigerated,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Quinoa,cooked,"Grains, Beans & Pasta",,Refrigerated,6.0,7.0,6.5,,USDA FoodKeeper,sourced,
Quinoa,cooked,"Grains, Beans & Pasta",,Frozen,180.0,360.0,270.0,,USDA FoodKeeper,sourced,
Fruit cocktail,canned ,Shelf Stable Foods,,Pantry,,540.0,540.0,,USDA FoodKeeper,sourced,
Bagel,fresh baked,Baked Goods,Bakery,Pantry,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Bagel,fresh baked,Baked Goods,Bakery,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Bagel ,commercially frozen,Baked Goods,Bakery,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Muffin,"homemade - including bran, blueberry, banana, corn, chocolate chip",Baked Goods,Bakery,Pantry,3.0,7.0,5.0,,USDA FoodKeeper,sourced,
Muffin,"homemade - including bran, blueberry, banana, corn, chocolate chip",Baked Goods,Bakery,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Muffin,commercially packaged,Baked Goods,Bakery,Pantry,3.0,7.0,5.0,,USDA FoodKeeper,sourced,
Muffin,commercially packaged,Baked Goods,Bakery,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Muffin,"mix, dry, commercially packaged",Baked Goods,Bakery,Pantry,270.0,270.0,270.0,,USDA FoodKeeper,sourced,
Coconut oil,,Shelf Stable Foods,,Pantry,1095.0,1095.0,1095.0,,USDA FoodKeeper,sourced,
Orange juice,freshly squeezed,Beverages,,Refrigerated,2.0,3.0,2.5,,USDA FoodKeeper,sourced,
Orange juice,freshly squeezed,Beverages,,Frozen,14.0,21.0,17.5,,USDA FoodKeeper,sourced,
Roasted red peppers,jar,Shelf Stable Foods,,Refrigerated,120.0,180.0,150.0,,USDA FoodKeeper,sourced,
Whole wheat flour,,Baked Goods,Baking and Cooking,Pantry,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Whole wheat flour,,Baked Goods,Baking and Cooking,Refrigerated,730.0,730.0,730.0,,USDA FoodKeeper,sourced,
Whole wheat flour,,Baked Goods,Baking and Cooking,Frozen,730.0,730.0,730.0,,USDA FoodKeeper,sourced,
Whole wheat bread,homemade,"Grains, Beans & Pasta",,Pantry,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Whole wheat bread,homemade,"Grains, Beans & Pasta",,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Whole wheat bread,commercially baked & pre-sliced,"Grains, Beans & Pasta",,Pantry,3.0,5.0,4.0,,USDA FoodKeeper,sourced,
Whole wheat bread,commercially baked & pre-sliced,"Grains, Beans & Pasta",,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Red wine,,Beverages,,Pantry,1095.0,1825.0,1460.0,,USDA FoodKeeper,sourced,
White wine,,Beverages,,Pantry,365.0,730.0,547.5,,USDA FoodKeeper,sourced,
Dry stuffing mix,commercially packaged,Shelf Stable Foods,,Pantry,270.0,360.0,315.0,,USDA FoodKeeper,sourced,
Powdered milk,,Dairy Products & Eggs,,Pantry,1095.0,1825.0,1460.0,,USDA FoodKeeper,sourced,
Almond butter,,Shelf Stable Foods,,Pantry,365.0,365.0,365.0,,USDA FoodKeeper,sourced,
Cashew butter,,Shelf Stable Foods,,Pantry,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Star fruit,,Produce,Fresh Fruits,Pantry,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Star fruit,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Prickly pear ,,Produce,Fresh Fruits,Pantry,2.0,5.0,3.5,,USDA FoodKeeper,sourced,
Prickly pear ,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Pitaya/dragon fruit,,Produce,Fresh Fruits,Pantry,2.0,5.0,3.5,,USDA FoodKeeper,sourced,
Pitaya/dragon fruit,,Produce,Fresh Fruits,Frozen,300.0,360.0,330.0,,USDA FoodKeeper,sourced,
Strawberries,,Produce,Fresh Fruits,Frozen,240.0,360.0,300.0,,USDA FoodKeeper,sourced,
Raspberries,,Produce,Fresh Fruits,Frozen,240.0,360.0,300.0,,USDA FoodKeeper,sourced,
Cherries,,Produce,Fresh Fruits,Frozen,240.0,360.0,300.0,,USDA FoodKeeper,sourced,
Broth,homemade,"Condiments, Sauces & Canned Goods",,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Broth,homemade,"Condiments, Sauces & Canned Goods",,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Beef broth/stock/consommé ,commercially produced,"Condiments, Sauces & Canned Goods",,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Beef broth/stock/consommé ,commercially produced,"Condiments, Sauces & Canned Goods",,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Chicken broth/stock/consommé ,commercially produced,"Condiments, Sauces & Canned Goods",,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Chicken broth/stock/consommé ,commercially produced,"Condiments, Sauces & Canned Goods",,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Vegetable stock/broth ,commercially produced,"Condiments, Sauces & Canned Goods",,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Vegetable stock/broth ,commercially produced,"Condiments, Sauces & Canned Goods",,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Baby carrots,,Produce,Fresh Vegetables,Frozen,90.0,90.0,90.0,,USDA FoodKeeper,sourced,
Kohlrabi,,Produce,Fresh Vegetables,Frozen,240.0,360.0,300.0,,USDA FoodKeeper,sourced,
Watermelon,,Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Cantaloupe,,Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Honeydew,,Produce,Fresh Fruits,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Tomato paste,,Shelf Stable Foods,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Flaxseed,ground,Shelf Stable Foods,,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Cilantro,,Produce,Fresh Vegetables,Pantry,7.0,14.0,10.5,,USDA FoodKeeper,sourced,
Cilantro,,Produce,Fresh Vegetables,Refrigerated,14.0,21.0,17.5,,USDA FoodKeeper,sourced,
Mint,,Produce,Fresh Vegetables,Pantry,7.0,14.0,10.5,,USDA FoodKeeper,sourced,
Mint,,Produce,Fresh Vegetables,Refrigerated,14.0,21.0,17.5,,USDA FoodKeeper,sourced,
